USER,FRIENDCOUNT
f0,0
f1,0
f2,0
f3,1
f4,1
f5,9
f6,9
f7,10
f8,19
f9,22
f10,24
f11,27
f12,29
f13,30
f14,35
f15,37
f16,43
f17,47
f18,54
f19,56
f20,67
f21,72
f22,74
f23,74
f24,76
f25,80
f26,92
f27,95
f28,100
f29,103
f30,113
f31,114
f32,120
f33,133
f34,134
f35,137
f36,138
f37,140
f38,150
f39,156
f40,163
f41,172
f42,221
f43,239
f44,265
f45,278
f46,296
f47,303
f48,309
f49,313
f50,320
f51,326
f52,346
f53,353
f54,366
f55,384
f56,463
f57,513
f58,518
f59,582
f60,584
f61,636
f62,729
f63,736
f64,741
f65,761
f66,762
f67,769
f68,822
f69,892
f70,967
f71,1100
f72,1150
f73,1187
f74,1362
f75,1439
f76,1554
f77,1560
f78,1626
f79,1970
f80,2075
f81,2236
f82,2338
f83,2416
f84,2771
f85,2882
f86,3168
f87,3378
f88,4084
f89,4611
f90,4698
f91,4840
f92,6840
f93,7972
f94,8154
f95,8792
f96,9965
f97,71102
